    0.6900D+00     0.3589D+01     0.1918D+00
    0.7000D+00     0.3644D+01     0.1962D+00
    0.7100D+00     0.3699D+01     0.2007D+00
    0.7200D+00     0.3754D+01     0.2052D+00
    0.7300D+00     0.3809D+01     0.2097D+00
    0.7400D+00     0.3864D+01     0.2142D+00
    0.7500D+00     0.3919D+01     0.2188D+00
    0.7600D+00     0.3975D+01     0.2235D+00
    0.7700D+00     0.4030D+01     0.2281D+00
    0.7800D+00     0.4085D+01     0.2328D+00
    0.7900D+00     0.4141D+01     0.2375D+00
    0.8000D+00     0.4196D+01     0.2423D+00
    0.8100D+00     0.4252D+01     0.2471D+00
    0.8200D+00     0.4307D+01     0.2519D+00
    0.8300D+00     0.4363D+01     0.2568D+00
    0.8400D+00     0.4418D+01     0.2617D+00
    0.8500D+00     0.4474D+01     0.2666D+00
    0.8600D+00     0.4530D+01     0.2716D+00
    0.8700D+00     0.4586D+01     0.2765D+00
    0.8800D+00     0.4642D+01     0.2816D+00
    0.8900D+00     0.4698D+01     0.2866D+00
    0.9000D+00     0.4754D+01     0.2917D+00
    0.9100D+00     0.4810D+01     0.2968D+00
    0.9200D+00     0.4866D+01     0.3019D+00
    0.9300D+00     0.4922D+01     0.3071D+00
    0.9400D+00     0.4978D+01     0.3123D+00
    0.9500D+00     0.5035D+01     0.3176D+00
    0.9600D+00     0.5091D+01     0.3228D+00
    0.9700D+00     0.5148D+01     0.3281D+00
    0.9800D+00     0.5204D+01     0.3334D+00
    0.9900D+00     0.5261D+01     0.3388D+00
    0.1000D+01     0.5317D+01     0.3442D+00
    0.1010D+01     0.5374D+01     0.3496D+00
    0.1020D+01     0.5430D+01     0.3550D+00
    0.1030D+01     0.5487D+01     0.3605D+00
    0.1040D+01     0.5544D+01     0.3660D+00
    0.1050D+01     0.5601D+01     0.3715D+00
    0.1060D+01     0.5658D+01     0.3771D+00
    0.1070D+01     0.5715D+01     0.3827D+00
    0.1080D+01     0.5772D+01     0.3883D+00
    0.1090D+01     0.5829D+01     0.3939D+00
    0.1100D+01     0.5886D+01     0.3996D+00
    0.1110D+01     0.5943D+01     0.4053D+00
    0.1120D+01     0.6000D+01     0.4110D+00
    0.1130D+01     0.6058D+01     0.4168D+00
    0.1140D+01     0.6115D+01     0.4226D+00
    0.1150D+01     0.6172D+01     0.4284D+00
    0.1160D+01     0.6230D+01     0.4342D+00
    0.1170D+01     0.6287D+01     0.4401D+00
    0.1180D+01     0.6345D+01     0.4460D+00
    0.1190D+01     0.6402D+01     0.4519D+00
    0.1200D+01     0.6460D+01     0.4578D+00
    0.1210D+01     0.6518D+01     0.4638D+00
    0.1220D+01     0.6575D+01     0.4698D+00
    0.1230D+01     0.6633D+01     0.4758D+00
    0.1240D+01     0.6691D+01     0.4819D+00
    0.1250D+01     0.6749D+01     0.4880D+00
    0.1260D+01     0.6807D+01     0.4941D+00
    0.1270D+01     0.6865D+01     0.5002D+00
    0.1280D+01     0.6923D+01     0.5064D+00
    0.1290D+01     0.6981D+01     0.5125D+00
    0.1300D+01     0.7039D+01     0.5187D+00
    0.1310D+01     0.7097D+01     0.5250D+00
    0.1320D+01     0.7155D+01     0.5312D+00
    0.1330D+01     0.7213D+01     0.5375D+00
    0.1340D+01     0.7272D+01     0.5438D+00
    0.1350D+01     0.7330D+01     0.5502D+00
    0.1360D+01     0.7388D+01     0.5565D+00
    0.1370D+01     0.7447D+01     0.5629D+00
    0.1380D+01     0.7505D+01     0.5693D+00
    0.1390D+01     0.7564D+01     0.5757D+00
    0.1400D+01     0.7622D+01     0.5822D+00
    0.1410D+01     0.7681D+01     0.5887D+00
    0.1420D+01     0.7740D+01     0.5952D+00
    0.1430D+01     0.7798D+01     0.6017D+00
    0.1440D+01     0.7857D+01     0.6083D+00
    0.1450D+01     0.7916D+01     0.6149D+00
    0.1460D+01     0.7975D+01     0.6215D+00
    0.1470D+01     0.8034D+01     0.6281D+00
    0.1480D+01     0.8093D+01     0.6347D+00
    0.1490D+01     0.8152D+01     0.6414D+00
    0.1500D+01     0.8211D+01     0.6481D+00
-1 -1 -1
