  3.00000014E-04  1.42599992E-03  2.58000000E-06
  3.99999990E-04  1.90200005E-03  2.98999998E-06
  5.00000024E-04  2.37899995E-03  3.34000015E-06
  6.00000028E-04  2.85500009E-03  3.65000005E-06
  6.99999975E-04  3.33199976E-03  3.94999961E-06
  7.99999980E-04  3.80799989E-03  4.31000035E-06
  8.99999985E-04  4.28499980E-03  4.66000029E-06
  1.00000005E-03  4.76100016E-03  5.07000004E-06
  1.50000001E-03  7.14500016E-03  6.94000028E-06
  2.00000009E-03  9.52900015E-03  8.92000025E-06
  2.49999994E-03  1.19139999E-02  1.09499997E-05
  3.00000003E-03  1.42989997E-02  1.29699993E-05
  3.50000011E-03  1.66849997E-02  1.49999996E-05
  4.00000019E-03  1.90709997E-02  1.70300009E-05
  4.49999981E-03  2.14569997E-02  1.89500006E-05
  4.99999989E-03  2.38429997E-02  2.08800011E-05
  5.49999997E-03  2.62300018E-02  2.27000000E-05
  6.00000005E-03  2.86170002E-02  2.45299998E-05
  6.50000013E-03  3.10030021E-02  2.63000002E-05
  7.00000022E-03  3.33900005E-02  2.79699998E-05
  7.49999983E-03  3.57769988E-02  2.97000006E-05
  8.00000038E-03  3.81649993E-02  3.13199998E-05
  8.50000046E-03  4.05519977E-02  3.28899987E-05
  8.99999961E-03  4.29389998E-02  3.45100016E-05
  9.49999969E-03  4.53270003E-02  3.60800004E-05
  9.99999978E-03  4.77140024E-02  3.75999989E-05
  1.20000001E-02  5.72650023E-02  4.39899995E-05
  1.40000004E-02  6.68170005E-02  5.11800026E-05
  1.60000008E-02  7.63709992E-02  5.96999998E-05
  1.79999992E-02  8.59249979E-02  7.03400001E-05
  1.99999996E-02  9.54810008E-02  8.38199994E-05
  2.19999999E-02  0.10503800      1.00699996E-04
  2.40000002E-02  0.11459700      1.21680001E-04
  2.60000005E-02  0.12415800      1.47420011E-04
  2.80000009E-02  0.13372101      1.78279995E-04
  2.99999993E-02  0.14328600      2.14870000E-04
  3.20000015E-02  0.15285400      2.57640000E-04
  3.40000018E-02  0.16242501      3.07100010E-04
  3.59999985E-02  0.17199901      3.63660016E-04
  3.79999988E-02  0.18157700      4.28019994E-04
  3.99999991E-02  0.19115800      4.99880000E-04
  4.19999994E-02  0.20074300      5.79900050E-04
  4.39999998E-02  0.21033199      6.68380002E-04
  4.60000001E-02  0.21992500      7.65479985E-04
  4.80000004E-02  0.22952199      8.71400000E-04
  5.00000007E-02  0.23912399      9.86229978E-04
  5.20000011E-02  0.24873099      1.10987993E-03
  5.40000014E-02  0.25834301      1.24189991E-03
  5.60000017E-02  0.26795900      1.36758003E-03
